🔄 Update 10 | Reward: 1.039±0.509 | Lat: 2858.9±375.9 | Eng: 550.3±39.8 | JFI: 0.773 | Rate: 317619514.3 | Col: 10 | Bnd: 6145 | Time: 286.45s
🔄 Update 20 | Reward: 1.293±0.399 | Lat: 2606.8±396.0 | Eng: 572.6±34.1 | JFI: 0.797 | Rate: 328539714.2 | Col: 4 | Bnd: 3524 | Time: 590.62s
🔄 Update 30 | Reward: 1.408±0.495 | Lat: 2412.3±297.2 | Eng: 588.8±0.3 | JFI: 0.809 | Rate: 350583903.9 | Col: 0 | Bnd: 2358 | Time: 912.20s
🔄 Update 40 | Reward: 1.734±0.137 | Lat: 1924.2±147.4 | Eng: 587.2±0.9 | JFI: 0.855 | Rate: 404006234.1 | Col: 0 | Bnd: 4059 | Time: 1279.69s
🔄 Update 50 | Reward: 1.738±0.198 | Lat: 2020.1±169.8 | Eng: 587.0±0.6 | JFI: 0.848 | Rate: 406630012.9 | Col: 0 | Bnd: 2184 | Time: 1633.59s
🔄 Update 60 | Reward: 1.812±0.125 | Lat: 1939.0±131.0 | Eng: 586.4±1.1 | JFI: 0.855 | Rate: 410407581.0 | Col: 2 | Bnd: 1360 | Time: 1976.71s
🔄 Update 70 | Reward: 1.842±0.084 | Lat: 1747.3±112.1 | Eng: 585.7±0.3 | JFI: 0.859 | Rate: 433535004.0 | Col: 0 | Bnd: 1696 | Time: 2343.66s
🔄 Update 80 | Reward: 1.885±0.092 | Lat: 1651.2±57.6 | Eng: 585.0±0.5 | JFI: 0.865 | Rate: 443573302.4 | Col: 0 | Bnd: 1531 | Time: 2754.10s
🔄 Update 90 | Reward: 1.626±0.076 | Lat: 1646.8±44.2 | Eng: 583.3±0.6 | JFI: 0.838 | Rate: 471115556.5 | Col: 0 | Bnd: 3878 | Time: 3116.59s
🔄 Update 100 | Reward: 1.744±0.066 | Lat: 1693.7±81.9 | Eng: 582.8±0.5 | JFI: 0.845 | Rate: 451675087.6 | Col: 0 | Bnd: 1693 | Time: 3478.72s
🔄 Update 110 | Reward: 1.715±0.079 | Lat: 1618.4±46.1 | Eng: 582.0±0.3 | JFI: 0.846 | Rate: 465366576.1 | Col: 0 | Bnd: 1705 | Time: 3848.69s
🔄 Update 120 | Reward: 1.804±0.070 | Lat: 1633.5±83.9 | Eng: 581.5±0.4 | JFI: 0.852 | Rate: 469623055.6 | Col: 0 | Bnd: 1376 | Time: 4220.75s
🔄 Update 130 | Reward: 1.694±0.079 | Lat: 1720.5±63.4 | Eng: 580.4±0.8 | JFI: 0.842 | Rate: 470747741.3 | Col: 0 | Bnd: 1507 | Time: 4586.05s
🔄 Update 140 | Reward: 1.099±0.571 | Lat: 2517.4±479.2 | Eng: 536.1±36.3 | JFI: 0.770 | Rate: 394479193.3 | Col: 12 | Bnd: 2601 | Time: 4887.06s
🔄 Update 150 | Reward: 1.374±0.266 | Lat: 2438.3±246.3 | Eng: 566.2±25.4 | JFI: 0.804 | Rate: 383529739.9 | Col: 2 | Bnd: 2081 | Time: 5199.61s
🔄 Update 160 | Reward: -1.062±0.871 | Lat: 4081.5±345.3 | Eng: 479.3±42.0 | JFI: 0.508 | Rate: 286153795.6 | Col: 24 | Bnd: 4447 | Time: 5399.42s
🔄 Update 170 | Reward: -0.561±0.639 | Lat: 3857.3±288.1 | Eng: 491.6±49.3 | JFI: 0.543 | Rate: 304536577.7 | Col: 24 | Bnd: 1928 | Time: 5620.21s
🔄 Update 180 | Reward: -0.535±0.392 | Lat: 3771.5±149.1 | Eng: 512.3±51.4 | JFI: 0.541 | Rate: 320247546.9 | Col: 20 | Bnd: 1521 | Time: 5849.50s
🔄 Update 190 | Reward: 0.875±0.764 | Lat: 2884.1±592.5 | Eng: 525.8±67.0 | JFI: 0.734 | Rate: 384754288.2 | Col: 14 | Bnd: 2533 | Time: 6160.78s
🔄 Update 200 | Reward: 1.575±0.058 | Lat: 1887.9±110.5 | Eng: 574.1±0.3 | JFI: 0.833 | Rate: 472569169.6 | Col: 0 | Bnd: 3304 | Time: 6554.77s
🔄 Update 210 | Reward: 1.572±0.044 | Lat: 1729.5±63.4 | Eng: 573.0±0.4 | JFI: 0.831 | Rate: 487357982.9 | Col: 0 | Bnd: 3712 | Time: 6964.52s
🔄 Update 220 | Reward: 1.580±0.091 | Lat: 1608.9±37.3 | Eng: 572.7±0.4 | JFI: 0.835 | Rate: 500672497.4 | Col: 0 | Bnd: 3647 | Time: 7374.95s
🔄 Update 230 | Reward: 1.721±0.125 | Lat: 1591.2±76.9 | Eng: 572.5±0.5 | JFI: 0.845 | Rate: 487928383.4 | Col: 0 | Bnd: 1864 | Time: 7784.45s
🔄 Update 240 | Reward: 1.854±0.069 | Lat: 1716.8±58.7 | Eng: 572.0±0.4 | JFI: 0.857 | Rate: 471731558.6 | Col: 0 | Bnd: 520 | Time: 8182.56s
🔄 Update 250 | Reward: 1.660±0.092 | Lat: 1621.1±58.2 | Eng: 571.2±0.8 | JFI: 0.837 | Rate: 496438535.9 | Col: 0 | Bnd: 1919 | Time: 8588.65s
🔄 Update 260 | Reward: 1.371±0.551 | Lat: 2182.6±494.4 | Eng: 526.6±46.1 | JFI: 0.795 | Rate: 425864807.0 | Col: 10 | Bnd: 687 | Time: 8938.56s
🔄 Update 270 | Reward: 1.456±0.200 | Lat: 2249.2±160.3 | Eng: 557.5±15.5 | JFI: 0.811 | Rate: 434390588.5 | Col: 8 | Bnd: 1275 | Time: 9296.74s
🔄 Update 280 | Reward: 1.063±0.113 | Lat: 2431.7±154.1 | Eng: 543.7±32.4 | JFI: 0.776 | Rate: 442569719.8 | Col: 8 | Bnd: 3919 | Time: 9637.34s
🔄 Update 290 | Reward: 1.331±0.129 | Lat: 2124.5±67.9 | Eng: 553.0±22.5 | JFI: 0.802 | Rate: 469016044.9 | Col: 6 | Bnd: 3917 | Time: 9997.58s
🔄 Update 300 | Reward: 1.436±0.161 | Lat: 2023.5±119.0 | Eng: 555.0±31.7 | JFI: 0.810 | Rate: 477699237.9 | Col: 4 | Bnd: 2126 | Time: 10364.23s
🔄 Update 310 | Reward: 1.674±0.046 | Lat: 1802.6±67.5 | Eng: 566.6±0.7 | JFI: 0.837 | Rate: 487306686.5 | Col: 0 | Bnd: 1164 | Time: 10758.29s
🔄 Update 320 | Reward: 1.639±0.095 | Lat: 1788.0±74.2 | Eng: 566.2±1.0 | JFI: 0.832 | Rate: 498443164.5 | Col: 0 | Bnd: 1790 | Time: 11143.26s
🔄 Update 330 | Reward: 1.509±0.089 | Lat: 1997.8±103.6 | Eng: 560.0±10.4 | JFI: 0.824 | Rate: 479589835.3 | Col: 2 | Bnd: 3010 | Time: 11515.48s
🔄 Update 340 | Reward: 1.681±0.094 | Lat: 1827.1±121.1 | Eng: 563.8±0.6 | JFI: 0.838 | Rate: 486691872.0 | Col: 0 | Bnd: 1027 | Time: 11903.64s
🔄 Update 350 | Reward: 1.712±0.109 | Lat: 1803.8±83.4 | Eng: 557.2±12.6 | JFI: 0.844 | Rate: 476953318.7 | Col: 4 | Bnd: 903 | Time: 12292.47s
🔄 Update 360 | Reward: 1.662±0.065 | Lat: 1862.7±132.1 | Eng: 525.1±38.5 | JFI: 0.836 | Rate: 473283961.7 | Col: 12 | Bnd: 1107 | Time: 12660.99s
🔄 Update 370 | Reward: 1.741±0.070 | Lat: 1739.9±145.6 | Eng: 551.9±34.9 | JFI: 0.845 | Rate: 496471467.3 | Col: 4 | Bnd: 1050 | Time: 13049.51s
🔄 Update 380 | Reward: 1.675±0.039 | Lat: 1577.8±32.6 | Eng: 563.3±0.3 | JFI: 0.842 | Rate: 510018737.8 | Col: 0 | Bnd: 1920 | Time: 13471.80s
🔄 Update 390 | Reward: 1.666±0.055 | Lat: 1575.5±33.3 | Eng: 563.1±0.5 | JFI: 0.838 | Rate: 507811630.3 | Col: 0 | Bnd: 1677 | Time: 13876.56s
🔄 Update 400 | Reward: 1.771±0.056 | Lat: 1564.9±69.9 | Eng: 552.9±30.0 | JFI: 0.848 | Rate: 488126837.9 | Col: 2 | Bnd: 979 | Time: 14273.33s
🔄 Update 410 | Reward: 1.681±0.074 | Lat: 1566.2±48.0 | Eng: 562.5±0.4 | JFI: 0.840 | Rate: 505942692.0 | Col: 0 | Bnd: 1348 | Time: 14679.56s
